year	corrs	rbar	sdev	serr	eps 	cores
  1780.	     1.	  0.9274	  0.2772	  0.0000	  0.9778	   3.45
  1790.	     3.	  0.6822	  0.0731	  0.0422	  0.9185	   5.25
  1800.	    15.	  0.4441	  0.2361	  0.0610	  0.8510	   7.15
  1810.	    15.	  0.2095	  0.3350	  0.0865	  0.7125	   9.35
  1820.	    36.	  0.3479	  0.2458	  0.0410	  0.8538	  10.95
  1830.	    55.	  0.3737	  0.2988	  0.0403	  0.8830	  12.65
  1840.	    78.	  0.3011	  0.2453	  0.0278	  0.8573	  13.95
  1850.	    91.	  0.2971	  0.2667	  0.0280	  0.8646	  15.10
  1860.	   120.	  0.3263	  0.2747	  0.0251	  0.8891	  16.55
  1870.	   136.	  0.4284	  0.2789	  0.0239	  0.9282	  17.25
  1880.	   136.	  0.4785	  0.2238	  0.0192	  0.9432	  18.10
  1890.	   153.	  0.3064	  0.2342	  0.0189	  0.8928	  18.85
  1900.	   171.	  0.3934	  0.2084	  0.0159	  0.9249	  19.00
  1910.	   171.	  0.4015	  0.2318	  0.0177	  0.9272	  19.00
  1920.	   171.	  0.5099	  0.2119	  0.0162	  0.9519	  19.00
  1930.	   171.	  0.4278	  0.2204	  0.0169	  0.9342	  19.00
  1940.	   171.	  0.3746	  0.2784	  0.0213	  0.9192	  19.00
  1950.	   153.	  0.3353	  0.2120	  0.0171	  0.9032	  18.50
  1960.	   153.	  0.2820	  0.2603	  0.0210	  0.8761	  18.00
  1970.	   153.	  0.2053	  0.2562	  0.0207	  0.8230	  18.00
  1980.	   153.	  0.3316	  0.2205	  0.0178	  0.8993	  18.00
