Year,J,F,M,A,M,J,J,A,S,O,N,D
365,-1.272,-1.272,-1.272,-1.272,-1.272,-1.272,-1.272,-1.272,-1.272,-1.272,-1.272,-1.272
366,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26
367,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01,-0.5300000E-01
368,-0.614,-0.614,-0.614,-0.614,-0.614,-0.614,-0.614,-0.614,-0.614,-0.614,-0.614,-0.614
369,-1.122,-1.122,-1.122,-1.122,-1.122,-1.122,-1.122,-1.122,-1.122,-1.122,-1.122,-1.122
370,-1.398,-1.398,-1.398,-1.398,-1.398,-1.398,-1.398,-1.398,-1.398,-1.398,-1.398,-1.398
371,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124,0.124
372,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694,0.694
373,1.684,1.684,1.684,1.684,1.684,1.684,1.684,1.684,1.684,1.684,1.684,1.684
374,3.307,3.307,3.307,3.307,3.307,3.307,3.307,3.307,3.307,3.307,3.307,3.307
375,1.252,1.252,1.252,1.252,1.252,1.252,1.252,1.252,1.252,1.252,1.252,1.252
376,-0.9380001,-0.9380001,-0.9380001,-0.9380001,-0.9380001,-0.9380001,-0.9380001,-0.9380001,-0.9380001,-0.9380001,-0.9380001,-0.9380001
377,-1.829,-1.829,-1.829,-1.829,-1.829,-1.829,-1.829,-1.829,-1.829,-1.829,-1.829,-1.829
378,-2.539,-2.539,-2.539,-2.539,-2.539,-2.539,-2.539,-2.539,-2.539,-2.539,-2.539,-2.539
379,-1.811,-1.811,-1.811,-1.811,-1.811,-1.811,-1.811,-1.811,-1.811,-1.811,-1.811,-1.811
380,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145,0.145
381,2.434,2.434,2.434,2.434,2.434,2.434,2.434,2.434,2.434,2.434,2.434,2.434
382,2.383,2.383,2.383,2.383,2.383,2.383,2.383,2.383,2.383,2.383,2.383,2.383
383,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211,-0.211
